"","species","decimalLongitude","decimalLatitude"
"151","Pinus halepensis",-0.25,39.94
"152","Pinus halepensis",-0.52,38.78
"153","Pinus halepensis",-0.4,39.05
"154","Pinus halepensis",-0.44,39.59
"155","Pinus halepensis",-0.41,38.87
"156","Pinus halepensis",-1.01,38.07
"157","Pinus halepensis",-0.26,39.76
"158","Pinus halepensis",-0.88,38.6
"159","Pinus halepensis",0.07,38.68
"160","Pinus halepensis",-0.49,39.68
"161","Pinus halepensis",-0.49,39.77
"162","Pinus halepensis",-0.49,39.77
"163","Pinus halepensis",0.07,38.68
"164","Pinus halepensis",-0.38,39.5
"165","Pinus halepensis",-0.61,40.06
"166","Pinus halepensis",0.22,40.68
"167","Pinus halepensis",-0.35,39.78
"168","Pinus halepensis",0.15,38.76
"169","Pinus halepensis",-0.4,39.05
"170","Pinus halepensis",15.548,44.184
"171","Pinus halepensis",5.806,43.118
"172","Pinus halepensis",-2.58,38.51
"173","Pinus halepensis",-2.09,38.03
"174","Pinus halepensis",-4.42,42.04
"175","Pinus halepensis",-4.19,39.02
"176","Pinus halepensis",-4.3,42.17
"177","Pinus halepensis",2.72,39.62
"178","Pinus halepensis",2.83,39.62
"179","Pinus halepensis",2.83,39.71
"180","Pinus halepensis",2.6,39.71
"181","Pinus halepensis",3,39.92
"182","Pinus halepensis",1.33,38.89
"183","Pinus halepensis",1.56,39.07
"184","Pinus halepensis",2.71,39.71
"185","Pinus halepensis",2.83,39.62
"186","Pinus halepensis",1.59,39.08
"187","Pinus halepensis",2.71,39.71
"188","Pinus halepensis",3.13,39.86
"189","Pinus halepensis",2.6,39.71
"190","Pinus halepensis",2.95,39.8
"191","Pinus halepensis",23.46972,40.37944
"192","Pinus halepensis",23.46972,40.37944
"193","Pinus halepensis",23.55639,39.97389
"194","Pinus halepensis",23.73278,40.165
"195","Pinus halepensis",21.74222,40.2475
"196","Pinus halepensis",16.50195,40.01558
"197","Pinus halepensis",13.539199,43.474448
"198","Pinus halepensis",13.539199,43.474448
"199","Pinus halepensis",12.650884,42.650973
"200","Pinus halepensis",12.786974,42.73073
"201","Pinus halepensis",-4.79,37.86
"202","Pinus halepensis",-4.79,37.86
"203","Pinus halepensis",-4.79,37.86
"204","Pinus halepensis",5.06412,44.1846
"205","Pinus halepensis",0.42,40.51
"206","Pinus halepensis",0.2,40.93
"207","Pinus halepensis",-1.37,39.5
"208","Pinus halepensis",-1.25,39.42
"209","Pinus halepensis",-1.05,39.22
"210","Pinus halepensis",-1.08,39.3
"211","Pinus halepensis",-1.23,39.39
"212","Pinus halepensis",-1.36,39.53
"213","Pinus halepensis",-1.5,39.51
"214","Pinus halepensis",-1.4,39.44
"215","Pinus halepensis",-0.25,39.02
"216","Pinus halepensis",-1.36,39.51
"217","Pinus halepensis",-0.31,39.24
"218","Pinus halepensis",-0.47,39.67
"219","Pinus halepensis",-0.3,39
"220","Pinus halepensis",3.97,40.03
"221","Pinus halepensis",1.98,41.5
"222","Pinus halepensis",-3.93,34.33
"223","Pinus halepensis",3.18,41.96
"224","Pinus halepensis",-0.1165,38.579
"225","Pinus halepensis",-0.1165,38.579
"226","Pinus halepensis",22.95,40.633333
"227","Pinus halepensis",-8.57,38.62
